Gene	p.value
CFAP299	7.52671394728506e-09
ARHGAP24	4.41758274120876e-12
MAPK10	1.96845818101056e-09
PTPN13	0.162322632912993
TTC28	0.545278461829066
SEZ6L	1.08228838499545e-19
CIT	2.27014753243319e-11
KSR2	2.34552310363673e-15
TMEM132C	0.0308138560576136
GLT1D1	4.7666407122382e-09
TMEM132D	4.28718116766612e-09
AUTS2	2.95479043664633e-12
FAM20C	1.3259481542768e-21
SDK1	1.25111442944284e-06
BRI3	0.0538121021864708
SLC7A1	0.0225103386048276
DYNC1I1	0.00172158255923882
GRM8	0.178400181311086
SND1	0.586642399028896
PLXNA4	0.44964012253862
CHCHD3	0.468463748765232
EXOC4	0.0358838471292823
CALD1	3.6036517381791e-07
CHRM2	0.741246618123587
CNTNAP2	5.28078202567875e-11
IGF2BP3	3.5663889307317e-09
TRA2A	3.64329057704762e-09
OSBPL3	0.00985304360065586
JAZF1	0.211055065763071
CREB5	5.41031791699701e-06
CPVL	5.13596528598461e-06
GRID2	6.56412290619115e-37
REEP1	8.14723072559261e-41
ST3GAL5	8.17018174379112e-40
ATOH8	1.07136031274329e-39
CTNNA2	0.000269497359198244
LRRTM4	0.0146749104236715
ZNF638	1.28914667127748e-05
EXOC6B	1.53839527032345e-05
MAGI1	0.0827044340810343
SUCLG2	0.000864624797648137
TAFA1	0.00171762654130932
TAFA4	0.000405725140758002
FOXP1	1.64515930511168e-05
PDZRN3	1.00658217150821e-10
CNTN3	8.4384293045487e-11
CHL1	5.64878390340709e-07
CNTN4	3.07024214562405e-08
ITPR1	2.16390123418789e-07
GRM7	9.87111030947504e-05
ERC1	0.000291181598334967
KDM5A	4.51229439606163e-18
ANO2	0.104730290295514
DUSP16	3.77838545644788e-06
GRIN2B	1.39537682029529e-11
RERG	1.35670567743754e-11
PIK3C2G	6.89555340569834e-17
ITPR2	8.91079386566556e-08
FAR2	2.08888960629478e-07
EHD2	0.000198716650532128
SIPA1L3	0.979016438399376
NAV2	2.12540696829235e-05
NELL1	1.61553374173221e-06
GAS2	0.0741780406678858
OTUD7A	0.263705758419797
IGF1R	9.54733520721918e-06
PGPEP1L	1.72459803602136e-06
SLCO3A1	0.000115979365329598
AGBL1	9.18847935692217e-10
NOX4	0.289318500655079
GRM5	3.75018625902162e-08
TMEM135	7.31595828844569e-06
PICALM	0.00074873946544823
DLG2	7.50964357952225e-08
TENM4	2.20945391063127e-15
GALNT18	0.0662598107406614
MICAL2	0.0876416057747891
SPON1	0.0562172100912193
SOX6	0.00446153053932501
IQCK	4.75635362084625e-08
PRKCB	0.0461174606005966
ADAM12	0.00207512638375128
TCERG1L	0.0321376401357514
PPP2R2D	0.00216649955904623
DLGAP2	0.0305690493025326
CSMD1	2.27256831468265e-27
UNC5D	3.10215381098372e-18
NRG1	1.54900259388003e-20
SGCZ	5.21021205004401e-08
TUSC3	7.52615799898523e-08
STOX2	2.68533664957322e-06
GALNTL6	0.0471893303716064
PALLD	0.12109778583725
SPOCK3	0.0838339024102383
PSD3	0.169345658920182
LARGE1	5.22063244737865e-08
IQCM	2.68083527341197e-06
NR3C2	2.03932541146826e-08
INPP4B	1.39242116645256e-17
TBC1D9	2.28342602103535e-09
CACNA1A	4.15308579302674e-08
CHD9	0.00126062378424765
ZFHX3	0.00190819415204482
WWOX	2.33945500941405e-11
ANKRD11	0.608946650670226
ZNF276	0.849812790925014
PARD3	2.65108941318306e-06
CNTN5	7.85530935078482e-10
MAML2	2.28287672317318e-15
NTM	0.000888755308674584
ETS1	0.994257305401244
KIRREL3	2.45954124140535e-09
PKNOX2	1.73011423060585e-16
GRAMD1B	7.28488766235273e-05
SORL1	7.98705944538593e-16
GRIK4	0.0940491452076129
POU2F3	5.48865178406585e-08
TTC12	0.517795736637299
NCAM1	0.517795736637299
EXPH5	4.40963389145783e-06
SCAPER	0.916523676380294
LINGO1	0.36073972663389
NEO1	0.00727394438894818
THSD4	4.45773944588136e-11
MAP2K5	1.59022632799566e-11
MEGF11	0.000208656135628625
CSNK1G1	2.15135461707191e-05
TLN2	6.615587845275e-11
RORA	7.23033584909144e-08
TCF12	4.90138648561514e-08
PRTG	0.661078431778823
UNC13C	0.0565969744842951
WDR72	0.00368188835437435
MLIP	0.626723179943375
LRRC1	3.55386954337797e-06
IMPG1	5.98152501299434e-10
MEI4	8.29709880308884e-05
BCKDHB	1.9014774620416e-05
ME1	0.010506600489441
ATR	0.0120062227673103
TFDP2	0.00276567414340196
CLSTN2	0.00136822204661448
STAG1	0.000860154086738892
EPHB1	0.734188061067083
TMEM108	0.123653016956033
ACAD11	0.110804826118246
CPNE4	0.0545780897283686
NEK11	0.760193339619967
ATP2C1	0.0387033397988579
CELSR3	4.88995591816191e-13
OSBPL10	0.000167073827051638
RBMS3	1.01379311145365e-10
ULK4	0.60119057388401
MTHFD1L	0.000524200394560289
ESR1	7.83434719955561e-06
SYNE1	6.79564166632626e-06
SASH1	0.000837255761011795
GRM1	0.0223608503295281
UTRN	0.00105153912325616
AIG1	5.37115653927538e-09
HIVEP2	9.00989434386923e-09
EPB41L2	1.25627619333062e-07
LAMA2	0.000145808111580312
PTPRK	6.3636301735718e-05
GRIK2	4.16662987641244e-12
CTNNA3	7.91229332889951e-19
ARID5B	1.73351639366877e-13
CCDC6	2.78571886317051e-10
PCDH15	3.45001340554453e-06
SYN3	0.18672437871534
MGAT4C	4.22154711698954e-10
TMTC2	0.0186289880051419
NAV3	4.26128642836602e-11
RAP1B	2.3162522947439e-10
GRIP1	3.67042632162395e-07
SRGAP1	0.00622599459290399
PPM1H	0.641415448932974
TAFA2	0.535240584789761
SLC16A7	0.00933927851999163
R3HDM2	1.57942761267722e-15
RBMS2	0.000466842864492944
ZNRF3	8.23467456920827e-07
NUDCD3	1.090028677508e-24
PKD1L1	7.22700567438098e-11
ABCA13	0.000427702040493936
ZPBP	0.000944034054205294
EGFR	0.0238093649928135
PPP3R1	0.0665876494134933
RAB1A	4.99237795701771e-10
WDPCP	5.25234987756668e-08
VRK2	9.64501452525616e-07
CCDC88A	0.127457927069583
SPTBN1	0.774964927878415
KCNIP1	0.356068000450301
SLIT3	6.12929168955851e-16
TENM2	2.68329619577338e-16
GABRB2	7.01525545413083e-05
EBF1	4.71712436189294e-05
SGCD	0.000439850209294672
GRIA1	0.000114520320932275
FAM114A2	0.171190132467225
OBSCN	2.63328395635371e-06
SPECC1	0.00711327394521484
COX10	8.44468606977817e-15
DNAH9	0.000402002323615701
SHISA6	0.000383371269947281
USP43	0.137979002845674
DNAH2	0.510215877033801
ZZEF1	0.087884762538107
RAP1GAP2	0.0709303991366187
SMG6	0.0709303991366187
VPS53	0.713031922533692
BCAS3	0.026935246916587
ANKFN1	0.000546727148792332
CA10	0.0484360630555577
PLXDC1	0.0158864595900491
WIPF2	0.0092216933327933
NSF	2.34301932944274e-14
CRHR1	0.0014045300138599
TANC2	0.0759847464641264
CACNG4	0.309069208348789
PRKCA	0.0161164878197009
CEP112	0.000183822021788071
ABCA8	0.26464701672469
SDK2	8.99102556135745e-05
NCOA1	0.448891517765245
KLHL29	0.063173092055598
MATN3	1.59121654065233e-16
NBAS	0.00464258405229459
MYT1L	0.00154210890872922
HDAC9	0.0421519331381179
AGMO	0.0110883057363162
DGKB	7.4783144072779e-12
DOCK4	1.24568222792416e-07
IMMP2L	0.0174060622741885
NPAS3	0.7430686950989
EAPP	6.11660396542197e-13
RALGAPA1	2.90081124715911e-06
SLC25A21	7.42541331248781e-07
MDGA2	0.00238790218715512
MNAT1	6.59630813304334e-11
SYNE2	0.362011717696287
GPHN	0.0542885438797365
RAD51B	9.01774529436537e-05
RGS6	4.76483586535871e-14
NRXN3	0.0026422502932716
UNC79	0.0493465323129916
SYNE3	0.00171471011422684
BCL11B	8.25310598271267e-08
WDR25	0.0236227275363691
ADARB2	3.08832188790762e-10
DIP2C	5.12806311434305e-10
RYR2	1.23476781587693e-09
LYST	1.12986573069386e-05
GLI3	7.65701007879793e-06
SUGCT	6.59520897083072e-06
POU6F2	0.139927752990162
PHACTR1	1.26170714752529e-13
ATXN1	7.84559542124486e-07
CAP2	0.702926432318565
KIF13A	3.06522079321993e-06
SYK	7.58484336844563e-10
KLHL3	0.000898581555406907
NTRK2	1.5305391227856e-09
PTCH1	0.382168693492942
ADCY2	3.57313793946601e-05
CEP72	0.0326181101782789
MCTP1	0.0110742895116525
EDIL3	0.0176004307374984
XRCC4	0.0114523263100242
SSBP2	0.0883873532073046
RASGRF2	9.86763253271396e-07
PDE8B	5.66523575227247e-11
TNPO1	5.74102881419099e-05
MAST4	0.00269293819674595
CWC27	8.68387797627262e-07
IPO11	3.53702454786167e-08
ELOVL7	1.60912683440504e-07
PDE4D	3.7385637459623e-13
ARL15	0.00116426676982497
FHIT	9.98361791428991e-15
PTPRG	1.70320462630408e-14
CADPS	1.69101079659772e-14
RARB	1.70320462630408e-14
UBE2E2	5.80408043163579e-06
ADK	0.0323548646226645
LRMDA	0.00155152025441131
ERC2	6.31840244754678e-24
CACNA2D3	2.30432698364357e-20
NRG3	0.0021017954805314
ATP8A2	6.2488671081944e-07
HMBOX1	0.000155716050170045
EXTL3	0.000121766678616497
EPHX2	0.100720622375628
PTK2B	2.29779554757856e-05
EBF2	0.000194280581924692
DOCK5	0.00359760621237429
ENTPD4	1.02192618017545e-07
VWA8	0.606054598643615
DIAPH3	0.0260932162817114
PCDH9	0.534202030092102
LMO7	2.43594500927176e-09
GPC5	0.00377867824241425
GPC6	0.010213627938996
WDR70	6.29635927262337e-06
SPEF2	5.8981547076642e-09
RAI14	7.85030661603134e-11
ADAMTS12	8.47986288494664e-05
DROSHA	0.0041572606669825
CDH10	0.00055891136333245
CDH12	0.00288401299656662
CDH18	3.24070422724877e-08
FBXL7	0.00527342345224906
CTNND2	0.000679436995677788
SEMA5A	0.0263272791489499
CPQ	0.0182403573922275
VPS13B	0.000470280435461108
NCALD	0.000419174499413336
ANGPT1	0.0841670851318496
CSMD3	0.036497909901634
SAMD12	0.309868573887884
DEPTOR	4.27417257725588e-06
ASAP1	0.00280704447257563
OC90	0.000337481632883422
KCNQ3	0.222228986970661
NDRG1	0.00016948419416371
ZFAT	0.00705009291439565
TRAPPC9	0.877994430129507
RBFOX2	0.00931206551686379
CSNK1E	5.53000198906618e-09
ENTHD1	4.97050165186718e-08
SCUBE1	0.295976731939764
CELSR1	0.00103975436925537
KIF21A	0.00270980557333533
CNTN1	0.00586538569525455
PDZRN4	0.000567908177775604
NELL2	0.118556841048975
LIMA1	3.48025939171548e-06
RBFOX1	7.07002447648077e-11
SHISA9	3.44490722922968e-17
ATP13A5	0.00139489081295821
XXYLT1	0.143079521294802
OSBPL11	0.000368481903446208
KALRN	5.78821622724299e-10
SEC22A	5.00013474917062e-06
KPNA1	8.75031645792707e-05
GOLGB1	4.04429295819811e-10
FBXO40	4.53504786550558e-11
STXBP5L	5.85679591650631e-05
FSTL1	5.85529287536283e-05
IGSF11	0.0819392982754502
LSAMP	2.90035357988913e-06
ZBTB20	4.46380934065835e-05
MORC1	0.0634876240843344
BBX	0.685908123351289
CMSS1	0.109629763021693
FILIP1L	0.109629763021693
EPHA6	2.11255774522785e-14
EPHA3	2.61805095499771e-14
CADM2	2.18548673342005e-17
ROBO1	0.000751382060668086
ROBO2	0.000135720518288983
NCAM2	0.513039101579905
GRIK1	0.00070580437573678
MORC3	1.43217294030227e-05
DSCAM	0.0188187794589267
TIAM2	0.000402895658356503
PACRG	0.61892477531556
PRKN	0.237095065749068
ZFAND3	1.77950697296955e-17
BTBD9	8.42462819376514e-60
DNAH8	3.25462284823869e-60
RSPH1	4.98798817673471e-60
SLC37A1	3.46119876526253e-59
CENPQ	2.47922120124531e-05
TNFRSF21	2.52797393965572e-27
UBR2	0.731859387396605
KIF6	3.95808781322102e-05
EFNA5	2.07306978420181e-10
FBXL17	1.45754782976252e-10
FER	7.94317299872072e-10
TMEM232	6.39544935313366e-11
PPP4R1	0.000168155360372772
PTPRM	0.000124774837480404
DLGAP1	0.00644338849006148
SPDYA	7.75363722173652e-05
GALNT14	1.07436707770553e-05
MEMO1	3.2480423818744e-06
LTBP1	0.187462727578732
SLC8A1	2.06567353336867e-08
THADA	4.30144864206519e-05
DYNC2LI1	9.23149529441376e-15
CAMKMT	1.71242514874389e-06
PRKCE	2.97238790499667e-08
NRXN1	0.171523545703349
SVIL	0.19072972804514
COLEC12	0.339656168941259
TMEM241	0.23694865518105
CHST9	0.00632171399532395
CCDC178	0.00372193049255023
NOL4	0.00506666145235164
FHOD3	1.57086621832564e-10
CELF4	2.5874018428456e-09
RIT2	4.6139706662034e-08
KDM3B	1.76193154071179e-09
SIL1	0.0442675633419066
ARHGAP26	2.32695652676543e-05
MCC	7.15215245326679e-08
SNX24	0.0599914531805153
FBN2	0.00178925212689263
SPINK13	0.39904020041626
PIEZO2	0.00568857089226496
NEDD4L	1.0410252374002e-05
LDLRAD4	9.28116229119496e-12
DCC	8.50933578782847e-18
MYO5B	6.1959142565515e-06
DYM	2.67033963685061e-06
CTIF	7.43595127809198e-12
ZBTB7C	2.84921059682109e-13
PRUNE2	2.58458099592264e-06
PCSK5	3.68857788752465e-06
ALDH1A1	0.375796376387409
TRPM3	0.000591646284472813
PTAR1	0.00068520383146091
PIP5K1B	0.00992620789656491
KANK1	0.000276303714934656
RIC1	3.41508175642016e-14
PRKG1	5.96832399483592e-08
SGMS1	2.2734392367266e-05
CPEB3	1.67700572465728e-05
CRTAC1	0.000575014248470391
HPSE2	0.00061172842539257
BORCS7	1.2511765885662e-09
SH3PXD2A	2.00426148623675e-06
SORCS3	0.764875117043702
SORCS1	2.76552855097785e-06
ABLIM1	6.70240687047781e-08
ATRNL1	1.13372816075838e-06
TENM1	0.0320512778023835
GPC3	0.0497144967069043
F8	0.587086426617933
DMD	0.0841719447492546
IL1RAPL1	0.110061755375779
POLA1	0.0087892835313367
RPS6KA6	0.00335199937997317
DACH2	0.0372185390709298
PCDH11X	0.0159406198871194
DIAPH2	0.0664562468305574
SH3KBP1	0.0135174174271901
