from,to
gene_2,gene_43
gene_2,gene_44
gene_2,gene_45
gene_2,gene_46
gene_2,gene_47
gene_2,gene_48
gene_2,gene_49
gene_2,gene_50
gene_2,gene_51
gene_2,gene_52
gene_2,gene_53
gene_2,gene_54
gene_2,gene_55
gene_2,gene_56
gene_2,gene_57
gene_2,gene_58
gene_2,gene_59
gene_2,gene_60
gene_2,gene_61
gene_2,gene_62
gene_2,gene_63
gene_2,gene_64
gene_2,gene_65
gene_2,gene_66
gene_2,gene_67
gene_2,gene_68
gene_2,gene_69
gene_2,gene_70
gene_2,gene_71
gene_2,gene_72
gene_2,gene_73
gene_2,gene_74
gene_2,gene_75
gene_2,gene_76
gene_2,gene_77
gene_2,gene_78
gene_2,gene_79
gene_2,gene_80
gene_2,gene_81
gene_2,gene_82
gene_2,gene_83
gene_2,gene_84
gene_2,gene_85
gene_2,gene_86
gene_2,gene_87
gene_2,gene_88
gene_2,gene_89
gene_2,gene_90
gene_2,gene_91
gene_2,gene_92
gene_2,gene_93
gene_2,gene_94
gene_2,gene_95
gene_2,gene_96
gene_2,gene_97
gene_2,gene_98
gene_2,gene_99
gene_2,gene_100
gene_2,gene_101
gene_2,gene_102
gene_2,gene_103
gene_2,gene_104
gene_2,gene_105
gene_2,gene_106
gene_2,gene_107
gene_2,gene_108
gene_2,gene_109
gene_2,gene_110
gene_2,gene_111
gene_2,gene_112
gene_2,gene_113
gene_2,gene_114
gene_2,gene_115
gene_2,gene_116
gene_2,gene_117
gene_2,gene_118
gene_2,gene_119
gene_2,gene_120
gene_2,gene_121
gene_2,gene_122
gene_2,gene_123
gene_2,gene_124
gene_2,gene_125
gene_2,gene_126
gene_2,gene_127
gene_2,gene_128
gene_2,gene_129
gene_2,gene_130
gene_2,gene_131
gene_2,gene_132
gene_2,gene_133
gene_2,gene_134
gene_2,gene_135
gene_2,gene_136
gene_2,gene_137
gene_2,gene_138
gene_2,gene_139
gene_2,gene_140
gene_2,gene_141
gene_2,gene_142
gene_2,gene_143
gene_2,gene_144
gene_2,gene_145
gene_2,gene_146
gene_2,gene_147
gene_2,gene_148
gene_2,gene_149
gene_2,gene_150
gene_2,gene_151
gene_2,gene_152
gene_2,gene_153
gene_2,gene_154
gene_2,gene_155
gene_2,gene_156
gene_2,gene_157
gene_2,gene_158
gene_2,gene_159
gene_2,gene_160
gene_2,gene_161
gene_2,gene_162
gene_2,gene_163
gene_2,gene_164
gene_2,gene_165
gene_2,gene_166
gene_2,gene_167
gene_2,gene_168
gene_2,gene_169
gene_2,gene_170
gene_2,gene_171
gene_2,gene_172
gene_2,gene_173
gene_2,gene_174
gene_2,gene_175
gene_2,gene_176
gene_2,gene_177
gene_2,gene_178
gene_2,gene_179
gene_2,gene_180
gene_2,gene_181
gene_2,gene_182
gene_2,gene_183
gene_2,gene_184
gene_2,gene_185
gene_2,gene_186
gene_2,gene_187
gene_2,gene_188
gene_2,gene_189
gene_2,gene_190
gene_2,gene_191
gene_2,gene_192
gene_2,gene_193
gene_2,gene_194
gene_2,gene_195
gene_2,gene_196
gene_2,gene_197
gene_2,gene_198
gene_2,gene_199
gene_2,gene_200
gene_3,gene_4
gene_3,gene_5
gene_3,gene_6
gene_3,gene_7
gene_3,gene_8
gene_3,gene_9
gene_3,gene_10
gene_3,gene_11
gene_3,gene_12
gene_3,gene_13
gene_3,gene_14
gene_3,gene_15
gene_3,gene_16
gene_3,gene_17
gene_3,gene_18
gene_3,gene_19
gene_3,gene_20
gene_3,gene_21
gene_3,gene_22
gene_3,gene_23
gene_3,gene_24
gene_3,gene_25
gene_3,gene_26
gene_3,gene_27
gene_3,gene_28
gene_3,gene_29
gene_3,gene_30
gene_3,gene_31
gene_3,gene_32
gene_3,gene_33
gene_3,gene_34
gene_3,gene_35
gene_3,gene_36
gene_3,gene_37
gene_3,gene_38
gene_3,gene_39
gene_3,gene_40
gene_3,gene_41
gene_3,gene_42
gene_3,gene_43
gene_3,gene_44
gene_3,gene_45
gene_3,gene_46
gene_3,gene_47
gene_3,gene_48
gene_3,gene_49
gene_3,gene_50
gene_3,gene_51
gene_3,gene_52
gene_3,gene_53
gene_3,gene_54
gene_3,gene_55
gene_3,gene_56
gene_3,gene_57
gene_3,gene_58
gene_3,gene_59
gene_3,gene_60
gene_3,gene_61
gene_3,gene_62
gene_3,gene_63
gene_3,gene_64
gene_3,gene_65
gene_3,gene_66
gene_3,gene_67
gene_3,gene_68
gene_3,gene_69
gene_3,gene_70
gene_3,gene_71
gene_3,gene_72
gene_3,gene_73
gene_3,gene_74
gene_3,gene_75
gene_3,gene_76
gene_3,gene_77
gene_3,gene_78
gene_3,gene_79
gene_3,gene_80
gene_3,gene_81
gene_3,gene_82
gene_3,gene_83
gene_3,gene_84
gene_3,gene_85
gene_3,gene_86
gene_3,gene_87
gene_3,gene_88
gene_3,gene_89
gene_3,gene_90
gene_3,gene_91
gene_3,gene_92
gene_3,gene_93
gene_3,gene_94
gene_3,gene_95
gene_3,gene_96
gene_3,gene_97
gene_3,gene_98
gene_3,gene_99
gene_3,gene_100
gene_3,gene_101
gene_3,gene_102
gene_3,gene_103
gene_3,gene_104
gene_3,gene_105
gene_3,gene_106
gene_3,gene_107
gene_3,gene_108
gene_3,gene_109
gene_3,gene_110
gene_3,gene_111
gene_3,gene_112
gene_3,gene_113
gene_3,gene_114
gene_3,gene_115
gene_3,gene_116
gene_3,gene_117
gene_3,gene_118
gene_3,gene_119
gene_3,gene_120
gene_3,gene_121
gene_3,gene_122
gene_3,gene_123
gene_3,gene_124
gene_3,gene_125
gene_3,gene_126
gene_3,gene_127
gene_3,gene_128
gene_3,gene_129
gene_3,gene_130
gene_3,gene_131
gene_3,gene_132
gene_3,gene_133
gene_3,gene_134
gene_3,gene_135
gene_3,gene_136
gene_3,gene_137
gene_3,gene_138
gene_3,gene_139
gene_3,gene_140
gene_3,gene_141
gene_3,gene_142
gene_3,gene_143
gene_3,gene_144
gene_3,gene_145
gene_3,gene_146
gene_3,gene_147
gene_3,gene_148
gene_3,gene_149
gene_3,gene_150
gene_3,gene_151
gene_3,gene_152
gene_3,gene_153
gene_3,gene_154
gene_3,gene_155
gene_3,gene_156
gene_3,gene_157
gene_3,gene_158
gene_3,gene_159
gene_3,gene_160
gene_3,gene_161
gene_3,gene_162
gene_3,gene_163
gene_3,gene_164
gene_3,gene_165
gene_3,gene_166
gene_3,gene_167
gene_3,gene_168
gene_3,gene_169
gene_3,gene_170
gene_3,gene_171
gene_3,gene_172
gene_3,gene_173
gene_3,gene_174
gene_3,gene_175
gene_3,gene_176
gene_3,gene_177
gene_3,gene_178
gene_3,gene_179
gene_3,gene_180
gene_3,gene_181
gene_3,gene_182
gene_3,gene_183
gene_3,gene_184
gene_3,gene_185
gene_3,gene_186
gene_3,gene_187
gene_3,gene_188
gene_3,gene_189
gene_3,gene_190
gene_3,gene_191
gene_3,gene_192
gene_3,gene_193
gene_3,gene_194
gene_3,gene_195
gene_3,gene_196
gene_3,gene_197
gene_3,gene_198
gene_3,gene_199
gene_3,gene_200
gene_4,gene_5
gene_4,gene_6
gene_4,gene_7
gene_4,gene_8
gene_4,gene_9
gene_4,gene_10
gene_4,gene_11
gene_4,gene_12
gene_4,gene_13
gene_4,gene_14
gene_4,gene_15
gene_4,gene_16
gene_4,gene_17
gene_4,gene_18
gene_4,gene_19
gene_4,gene_20
gene_4,gene_21
gene_4,gene_22
gene_4,gene_23
gene_4,gene_24
gene_4,gene_25
gene_4,gene_26
gene_4,gene_27
gene_4,gene_28
gene_4,gene_29
gene_4,gene_30
gene_4,gene_31
gene_4,gene_32
gene_4,gene_33
gene_4,gene_34
gene_4,gene_35
gene_4,gene_36
gene_4,gene_37
gene_4,gene_38
gene_4,gene_39
gene_4,gene_40
gene_4,gene_41
gene_4,gene_42
gene_4,gene_43
gene_4,gene_44
gene_4,gene_45
gene_4,gene_46
gene_4,gene_47
gene_4,gene_48
gene_4,gene_49
gene_4,gene_50
gene_4,gene_51
gene_4,gene_52
gene_4,gene_53
gene_4,gene_54
gene_4,gene_55
gene_4,gene_56
gene_4,gene_57
gene_4,gene_58
gene_4,gene_59
gene_4,gene_60
gene_4,gene_61
gene_4,gene_62
gene_4,gene_63
gene_4,gene_64
gene_4,gene_65
gene_4,gene_66
gene_4,gene_67
gene_4,gene_68
gene_4,gene_69
gene_4,gene_70
gene_4,gene_71
gene_4,gene_72
gene_4,gene_73
gene_4,gene_74
gene_4,gene_75
gene_4,gene_76
gene_4,gene_77
gene_4,gene_78
gene_4,gene_79
gene_4,gene_80
gene_4,gene_81
gene_4,gene_82
gene_4,gene_83
gene_4,gene_84
gene_4,gene_85
gene_4,gene_86
gene_4,gene_87
gene_4,gene_88
gene_4,gene_89
gene_4,gene_90
gene_4,gene_91
gene_4,gene_92
gene_4,gene_93
gene_4,gene_94
gene_4,gene_95
gene_4,gene_96
gene_4,gene_97
gene_4,gene_98
gene_4,gene_99
gene_4,gene_100
gene_4,gene_101
gene_4,gene_102
gene_4,gene_103
gene_4,gene_104
gene_4,gene_105
gene_4,gene_106
gene_4,gene_107
gene_4,gene_108
gene_4,gene_109
gene_4,gene_110
gene_4,gene_111
gene_4,gene_112
gene_4,gene_113
gene_4,gene_114
gene_4,gene_115
gene_4,gene_116
gene_4,gene_117
gene_4,gene_118
gene_4,gene_119
gene_4,gene_120
gene_4,gene_121
gene_4,gene_122
gene_4,gene_123
gene_4,gene_124
gene_4,gene_125
gene_4,gene_126
gene_4,gene_127
gene_4,gene_128
gene_4,gene_129
gene_4,gene_130
gene_4,gene_131
gene_4,gene_132
gene_4,gene_133
gene_4,gene_134
gene_4,gene_135
gene_4,gene_136
gene_4,gene_137
gene_4,gene_138
gene_4,gene_139
gene_4,gene_140
gene_4,gene_141
gene_4,gene_142
gene_4,gene_143
gene_4,gene_144
gene_4,gene_145
gene_4,gene_146
gene_4,gene_147
gene_4,gene_148
gene_4,gene_149
gene_4,gene_150
gene_4,gene_151
gene_4,gene_152
gene_4,gene_153
gene_4,gene_154
gene_4,gene_155
gene_4,gene_156
gene_4,gene_157
gene_4,gene_158
gene_4,gene_159
gene_4,gene_160
gene_4,gene_161
gene_4,gene_162
gene_4,gene_163
gene_4,gene_164
gene_4,gene_165
gene_4,gene_166
gene_4,gene_167
gene_4,gene_168
gene_4,gene_169
gene_4,gene_170
gene_4,gene_171
gene_4,gene_172
gene_4,gene_173
gene_4,gene_174
gene_4,gene_175
gene_4,gene_176
gene_4,gene_177
gene_4,gene_178
gene_4,gene_179
gene_4,gene_180
gene_4,gene_181
gene_4,gene_182
gene_4,gene_183
gene_4,gene_184
gene_4,gene_185
gene_4,gene_186
gene_4,gene_187
gene_4,gene_188
gene_4,gene_189
gene_4,gene_190
gene_4,gene_191
gene_4,gene_192
gene_4,gene_193
gene_4,gene_194
gene_4,gene_195
gene_4,gene_196
gene_4,gene_197
gene_4,gene_198
gene_4,gene_199
gene_4,gene_200
gene_5,gene_6
gene_5,gene_7
gene_5,gene_8
gene_5,gene_9
gene_5,gene_10
gene_5,gene_11
gene_5,gene_12
gene_5,gene_13
gene_5,gene_14
gene_5,gene_15
gene_5,gene_16
gene_5,gene_17
gene_5,gene_18
gene_5,gene_19
gene_5,gene_20
gene_5,gene_21
gene_5,gene_22
gene_5,gene_23
gene_5,gene_24
gene_5,gene_25
gene_5,gene_26
gene_5,gene_27
gene_5,gene_28
gene_5,gene_29
gene_5,gene_30
gene_5,gene_31
gene_5,gene_32
gene_5,gene_33
gene_5,gene_34
gene_5,gene_35
gene_5,gene_36
gene_5,gene_37
gene_5,gene_38
gene_5,gene_39
gene_5,gene_40
gene_5,gene_41
gene_5,gene_42
gene_5,gene_43
gene_5,gene_44
gene_5,gene_45
gene_5,gene_46
gene_5,gene_47
gene_5,gene_48
gene_5,gene_49
gene_5,gene_50
gene_5,gene_51
gene_5,gene_52
gene_5,gene_53
gene_5,gene_54
gene_5,gene_55
gene_5,gene_56
gene_5,gene_57
gene_5,gene_58
gene_5,gene_59
gene_5,gene_60
gene_5,gene_61
gene_5,gene_62
gene_5,gene_63
gene_5,gene_64
gene_5,gene_65
gene_5,gene_66
gene_5,gene_67
gene_5,gene_68
gene_5,gene_69
gene_5,gene_70
gene_5,gene_71
gene_5,gene_72
gene_5,gene_73
gene_5,gene_74
gene_5,gene_75
gene_5,gene_76
gene_5,gene_77
gene_5,gene_78
gene_5,gene_79
gene_5,gene_80
gene_5,gene_81
gene_5,gene_82
gene_5,gene_83
gene_5,gene_84
gene_5,gene_85
gene_5,gene_86
gene_5,gene_87
gene_5,gene_88
gene_5,gene_89
gene_5,gene_90
gene_5,gene_91
gene_5,gene_92
gene_5,gene_93
gene_5,gene_94
gene_5,gene_95
gene_5,gene_96
gene_5,gene_97
gene_5,gene_98
gene_5,gene_99
gene_5,gene_100
gene_5,gene_101
gene_5,gene_102
gene_5,gene_103
gene_5,gene_104
gene_5,gene_105
gene_5,gene_106
gene_5,gene_107
gene_5,gene_108
gene_5,gene_109
gene_5,gene_110
gene_5,gene_111
gene_5,gene_112
gene_5,gene_113
gene_5,gene_114
gene_5,gene_115
gene_5,gene_116
gene_5,gene_117
gene_5,gene_118
gene_5,gene_119
gene_5,gene_120
gene_5,gene_121
gene_5,gene_122
gene_5,gene_123
gene_5,gene_124
gene_5,gene_125
gene_5,gene_126
gene_5,gene_127
gene_5,gene_128
gene_5,gene_129
gene_5,gene_130
gene_5,gene_131
gene_5,gene_132
gene_5,gene_133
gene_5,gene_134
gene_5,gene_135
gene_5,gene_136
gene_5,gene_137
gene_5,gene_138
gene_5,gene_139
gene_5,gene_140
gene_5,gene_141
gene_5,gene_142
gene_5,gene_143
gene_5,gene_144
gene_5,gene_145
gene_5,gene_146
gene_5,gene_147
gene_5,gene_148
gene_5,gene_149
gene_5,gene_150
gene_5,gene_151
gene_5,gene_152
gene_5,gene_153
gene_5,gene_154
gene_5,gene_155
gene_5,gene_156
gene_5,gene_157
gene_5,gene_158
gene_5,gene_159
gene_5,gene_160
gene_5,gene_161
gene_5,gene_162
gene_5,gene_163
gene_5,gene_164
gene_5,gene_165
gene_5,gene_166
gene_5,gene_167
gene_5,gene_168
gene_5,gene_169
gene_5,gene_170
gene_5,gene_171
gene_5,gene_172
gene_5,gene_173
gene_5,gene_174
gene_5,gene_175
gene_5,gene_176
gene_5,gene_177
gene_5,gene_178
gene_5,gene_179
gene_5,gene_180
gene_5,gene_181
gene_5,gene_182
gene_5,gene_183
gene_5,gene_184
gene_5,gene_185
gene_5,gene_186
gene_5,gene_187
gene_5,gene_188
gene_5,gene_189
gene_5,gene_190
gene_5,gene_191
gene_5,gene_192
gene_5,gene_193
gene_5,gene_194
gene_5,gene_195
gene_5,gene_196
gene_5,gene_197
gene_5,gene_198
gene_5,gene_199
gene_5,gene_200
gene_6,gene_7
gene_6,gene_8
gene_6,gene_9
gene_6,gene_10
gene_6,gene_11
gene_6,gene_12
gene_6,gene_13
gene_6,gene_14
gene_6,gene_15
gene_6,gene_16
gene_6,gene_17
gene_6,gene_18
gene_6,gene_19
gene_6,gene_20
gene_6,gene_21
gene_6,gene_22
gene_6,gene_23
gene_6,gene_24
gene_6,gene_25
gene_6,gene_26
gene_6,gene_27
gene_6,gene_28
gene_6,gene_29
gene_6,gene_30
gene_6,gene_31
gene_6,gene_32
gene_6,gene_33
gene_6,gene_34
gene_6,gene_35
gene_6,gene_36
gene_6,gene_37
gene_6,gene_38
gene_6,gene_39
gene_6,gene_40
gene_6,gene_41
gene_6,gene_42
gene_6,gene_43
gene_6,gene_44
gene_6,gene_45
gene_6,gene_46
gene_6,gene_47
gene_6,gene_48
gene_6,gene_49
gene_6,gene_50
gene_6,gene_51
gene_6,gene_52
gene_6,gene_53
gene_6,gene_54
gene_6,gene_55
gene_6,gene_56
gene_6,gene_57
gene_6,gene_58
gene_6,gene_59
gene_6,gene_60
gene_6,gene_61
gene_6,gene_62
gene_6,gene_63
gene_6,gene_64
gene_6,gene_65
gene_6,gene_66
gene_6,gene_67
gene_6,gene_68
gene_6,gene_69
gene_6,gene_70
gene_6,gene_71
gene_6,gene_72
gene_6,gene_73
gene_6,gene_74
gene_6,gene_75
gene_6,gene_76
gene_6,gene_77
gene_6,gene_78
gene_6,gene_79
gene_6,gene_80
gene_6,gene_81
gene_6,gene_82
gene_6,gene_83
gene_6,gene_84
gene_6,gene_85
gene_6,gene_86
gene_6,gene_87
gene_6,gene_88
gene_6,gene_89
gene_6,gene_90
gene_6,gene_91
gene_6,gene_92
gene_6,gene_93
gene_6,gene_94
gene_6,gene_95
gene_6,gene_96
gene_6,gene_97
gene_6,gene_98
gene_6,gene_99
gene_6,gene_100
gene_6,gene_101
gene_6,gene_102
gene_6,gene_103
gene_6,gene_104
gene_6,gene_105
gene_6,gene_106
gene_6,gene_107
gene_6,gene_108
gene_6,gene_109
gene_6,gene_110
gene_6,gene_111
gene_6,gene_112
gene_6,gene_113
gene_6,gene_114
gene_6,gene_115
gene_6,gene_116
gene_6,gene_117
gene_6,gene_118
gene_6,gene_119
gene_6,gene_120
gene_6,gene_121
gene_6,gene_122
gene_6,gene_123
gene_6,gene_124
gene_6,gene_125
gene_6,gene_126
gene_6,gene_127
gene_6,gene_128
gene_6,gene_129
gene_6,gene_130
gene_6,gene_131
gene_6,gene_132
gene_6,gene_133
gene_6,gene_134
gene_6,gene_135
gene_6,gene_136
gene_6,gene_137
gene_6,gene_138
gene_6,gene_139
gene_6,gene_140
gene_6,gene_141
gene_6,gene_142
gene_6,gene_143
gene_6,gene_144
gene_6,gene_145
gene_6,gene_146
gene_6,gene_147
gene_6,gene_148
gene_6,gene_149
gene_6,gene_150
gene_6,gene_151
gene_6,gene_152
gene_6,gene_153
gene_6,gene_154
gene_6,gene_155
gene_6,gene_156
gene_6,gene_157
gene_6,gene_158
gene_6,gene_159
gene_6,gene_160
gene_6,gene_161
gene_6,gene_162
gene_6,gene_163
gene_6,gene_164
gene_6,gene_165
gene_6,gene_166
gene_6,gene_167
gene_6,gene_168
gene_6,gene_169
gene_6,gene_170
gene_6,gene_171
gene_6,gene_172
gene_6,gene_173
gene_6,gene_174
gene_6,gene_175
gene_6,gene_176
gene_6,gene_177
gene_6,gene_178
gene_6,gene_179
gene_6,gene_180
gene_6,gene_181
gene_6,gene_182
gene_6,gene_183
gene_6,gene_184
gene_6,gene_185
gene_6,gene_186
gene_6,gene_187
gene_6,gene_188
gene_6,gene_189
gene_6,gene_190
gene_6,gene_191
gene_6,gene_192
gene_6,gene_193
gene_6,gene_194
gene_6,gene_195
gene_6,gene_196
gene_6,gene_197
gene_6,gene_198
gene_6,gene_199
gene_6,gene_200
gene_7,gene_8
gene_7,gene_9
gene_7,gene_10
gene_7,gene_11
gene_7,gene_12
gene_7,gene_13
gene_7,gene_14
gene_7,gene_15
gene_7,gene_16
gene_7,gene_17
gene_7,gene_18
gene_7,gene_19
gene_7,gene_20
gene_7,gene_21
gene_7,gene_22
gene_7,gene_23
gene_7,gene_24
gene_7,gene_25
gene_7,gene_26
gene_7,gene_27
gene_7,gene_28
gene_7,gene_29
gene_7,gene_30
gene_7,gene_31
gene_7,gene_32
gene_7,gene_33
gene_7,gene_34
gene_7,gene_35
gene_7,gene_36
gene_7,gene_37
gene_7,gene_38
gene_7,gene_39
gene_7,gene_40
gene_7,gene_41
gene_7,gene_42
gene_7,gene_43
gene_7,gene_44
gene_7,gene_45
gene_7,gene_46
gene_7,gene_47
gene_7,gene_48
gene_7,gene_49
gene_7,gene_50
gene_7,gene_51
gene_7,gene_52
gene_7,gene_53
gene_7,gene_54
gene_7,gene_55
gene_7,gene_56
gene_7,gene_57
gene_7,gene_58
gene_7,gene_59
gene_7,gene_60
gene_7,gene_61
gene_7,gene_62
gene_7,gene_63
gene_7,gene_64
gene_7,gene_65
gene_7,gene_66
gene_7,gene_67
gene_7,gene_68
gene_7,gene_69
gene_7,gene_70
gene_7,gene_71
gene_7,gene_72
gene_7,gene_73
gene_7,gene_74
gene_7,gene_75
gene_7,gene_76
gene_7,gene_77
gene_7,gene_78
gene_7,gene_79
gene_7,gene_80
gene_7,gene_81
gene_7,gene_82
gene_7,gene_83
gene_7,gene_84
gene_7,gene_85
gene_7,gene_86
gene_7,gene_87
gene_7,gene_88
gene_7,gene_89
gene_7,gene_90
gene_7,gene_91
gene_7,gene_92
gene_7,gene_93
gene_7,gene_94
gene_7,gene_95
gene_7,gene_96
gene_7,gene_97
gene_7,gene_98
gene_7,gene_99
gene_7,gene_100
gene_7,gene_101
gene_7,gene_102
gene_7,gene_103
gene_7,gene_104
gene_7,gene_105
gene_7,gene_106
gene_7,gene_107
gene_7,gene_108
gene_7,gene_109
gene_7,gene_110
gene_7,gene_111
gene_7,gene_112
gene_7,gene_113
gene_7,gene_114
gene_7,gene_115
gene_7,gene_116
gene_7,gene_117
gene_7,gene_118
gene_7,gene_119
gene_7,gene_120
gene_7,gene_121
gene_7,gene_122
gene_7,gene_123
gene_7,gene_124
gene_7,gene_125
gene_7,gene_126
gene_7,gene_127
gene_7,gene_128
gene_7,gene_129
gene_7,gene_130
gene_7,gene_131
gene_7,gene_132
gene_7,gene_133
gene_7,gene_134
gene_7,gene_135
gene_7,gene_136
gene_7,gene_137
gene_7,gene_138
gene_7,gene_139
gene_7,gene_140
gene_7,gene_141
gene_7,gene_142
gene_7,gene_143
gene_7,gene_144
gene_7,gene_145
gene_7,gene_146
gene_7,gene_147
gene_7,gene_148
gene_7,gene_149
gene_7,gene_150
gene_7,gene_151
gene_7,gene_152
gene_7,gene_153
gene_7,gene_154
gene_7,gene_155
gene_7,gene_156
gene_7,gene_157
gene_7,gene_158
gene_7,gene_159
gene_7,gene_160
gene_7,gene_161
gene_7,gene_162
gene_7,gene_163
gene_7,gene_164
gene_7,gene_165
gene_7,gene_166
gene_7,gene_167
gene_7,gene_168
gene_7,gene_169
gene_7,gene_170
gene_7,gene_171
gene_7,gene_172
gene_7,gene_173
gene_7,gene_174
gene_7,gene_175
gene_7,gene_176
gene_7,gene_177
gene_7,gene_178
gene_7,gene_179
gene_7,gene_180
gene_7,gene_181
gene_7,gene_182
gene_7,gene_183
gene_7,gene_184
gene_7,gene_185
gene_7,gene_186
gene_7,gene_187
gene_7,gene_188
gene_7,gene_189
gene_7,gene_190
gene_7,gene_191
gene_7,gene_192
gene_7,gene_193
gene_7,gene_194
gene_7,gene_195
gene_7,gene_196
gene_7,gene_197
gene_7,gene_198
gene_7,gene_199
gene_7,gene_200
gene_8,gene_9
gene_8,gene_10
gene_8,gene_11
gene_8,gene_12
gene_8,gene_13
gene_8,gene_14
gene_8,gene_15
gene_8,gene_16
gene_8,gene_17
gene_8,gene_18
gene_8,gene_19
gene_8,gene_20
gene_8,gene_21
gene_8,gene_22
gene_8,gene_23
gene_8,gene_24
gene_8,gene_25
gene_8,gene_26
gene_8,gene_27
gene_8,gene_28
gene_8,gene_29
gene_8,gene_30
gene_8,gene_31
gene_8,gene_32
gene_8,gene_33
gene_8,gene_34
gene_8,gene_35
